from,to,rate,bank,date,market_rate,hidden_fee
AUD,CZK,15.87,Česká spořitelna,2019-04-16,16.20863,0.3386300000000002
CZK,AUD,0.05993766482857828,Česká spořitelna,2019-04-16,0.0617,0.0017623351714217209
GBP,CZK,28.995,Česká spořitelna,2019-04-16,29.70001,0.7050099999999979
CZK,GBP,0.032806246309297286,Česká spořitelna,2019-04-16,0.03367,0.0008637536907027121
BGN,CZK,12.786,Česká spořitelna,2019-04-16,13.1101,0.3240999999999996
CZK,BGN,0.07439369141496803,Česká spořitelna,2019-04-16,0.07628,0.0018863085850319705
DKK,CZK,3.35,Česká spořitelna,2019-04-16,3.4365300000000003,0.08653000000000022
CZK,DKK,0.2839295854628052,Česká spořitelna,2019-04-16,0.29099,0.0070604145371948035
EUR,CZK,25.009,Česká spořitelna,2019-04-16,25.6415,0.6325000000000003
CZK,EUR,0.03803582975162603,Česká spořitelna,2019-04-16,0.039,0.0009641702483739675
HKD,CZK,2.822,Česká spořitelna,2019-04-16,2.89247,0.07046999999999981
CZK,HKD,0.3370407819346141,Česká spořitelna,2019-04-16,0.34573000000000004,0.008689218065385917
HRK,CZK,3.362,Česká spořitelna,2019-04-16,3.44806,0.0860599999999998
CZK,HRK,0.2829654782116582,Česká spořitelna,2019-04-16,0.29002,0.0070545217883418165
JPY,CZK,0.19744,Česká spořitelna,2019-04-16,0.2026,0.005159999999999998
CZK,JPY,4.817883985353633,Česká spořitelna,2019-04-16,4.93575,0.11786601464636703
ZAR,CZK,1.581,Česká spořitelna,2019-04-16,1.6143100000000001,0.03331000000000017
CZK,ZAR,0.601684717208183,Česká spořitelna,2019-04-16,0.61946,0.01777528279181706
CAD,CZK,16.627,Česká spořitelna,2019-04-16,16.93986,0.3128600000000006
CZK,CAD,0.05721151095600435,Česká spořitelna,2019-04-16,0.05902999999999999,0.00181848904399564
HUF,CZK,0.07801999999999999,Česká spořitelna,2019-04-16,0.08009,0.0020700000000000024
CZK,HUF,12.1921482565228,Česká spořitelna,2019-04-16,12.48523,0.29308174347719884
NOK,CZK,2.605,Česká spořitelna,2019-04-16,2.67036,0.06536000000000008
CZK,NOK,0.3652300949598247,Česká spořitelna,2019-04-16,0.37448000000000004,0.00924990504017531
NZD,CZK,14.947000000000001,Česká spořitelna,2019-04-16,15.32594,0.3789399999999983
CZK,NZD,0.06364157067396424,Česká spořitelna,2019-04-16,0.06525,0.0016084293260357624
PLN,CZK,5.851,Česká spořitelna,2019-04-16,5.9985,0.14749999999999996
CZK,PLN,0.16257519102584947,Česká spořitelna,2019-04-16,0.16671,0.004134808974150528
RON,CZK,5.254,Česká spořitelna,2019-04-16,5.38693,0.13293000000000088
CZK,RON,0.18102824040550325,Česká spořitelna,2019-04-16,0.18563,0.0046017595944967404
RUB,CZK,0.33888,Česká spořitelna,2019-04-16,0.35265,0.013770000000000004
CZK,RUB,2.7239049901939416,Česká spořitelna,2019-04-16,2.83564,0.11173500980605855
SEK,CZK,2.39,Česká spořitelna,2019-04-16,2.44706,0.05705999999999989
CZK,SEK,0.3980891719745223,Česká spořitelna,2019-04-16,0.40865,0.010560828025477698
CHF,CZK,22.045,Česká spořitelna,2019-04-16,22.59163,0.5466299999999968
CZK,CHF,0.04314994606256742,Česká spořitelna,2019-04-16,0.04426,0.0011100539374325827
TND,CZK,7.385,Česká spořitelna,2019-04-16,7.57211,0.18711000000000055
CZK,TND,0.1287995878413189,Česká spořitelna,2019-04-16,0.13205999999999998,0.0032604121586810864
TRY,CZK,3.8089999999999997,Česká spořitelna,2019-04-16,3.9043300000000003,0.09533000000000058
CZK,TRY,0.24968789013732834,Česká spořitelna,2019-04-16,0.25613,0.0064421098626716855
USD,CZK,22.122,Česká spořitelna,2019-04-16,22.67734,0.555340000000001
