date,bank,from,to,rate
2019-03-07T00:00:00,Česká spořitelna,GBP,CZK,29.008
2019-03-07T00:00:00,Česká spořitelna,EUR,CZK,24.941
2019-03-07T00:00:00,Česká spořitelna,USD,CZK,22.048
2019-03-07T00:00:00,Česká spořitelna,CHF,CZK,21.964
2019-03-07T00:00:00,Česká spořitelna,CAD,CZK,16.443
2019-03-07T00:00:00,Česká spořitelna,AUD,CZK,15.512
2019-03-07T00:00:00,Česká spořitelna,NZD,CZK,14.943
2019-03-07T00:00:00,Česká spořitelna,BGN,CZK,12.751
2019-03-07T00:00:00,Česká spořitelna,CZK,HUF,12.030798845043313
2019-03-07T00:00:00,Česká spořitelna,TND,CZK,7.278
2019-03-07T00:00:00,Česká spořitelna,PLN,CZK,5.801
2019-03-07T00:00:00,Česká spořitelna,RON,CZK,5.255
2019-03-07T00:00:00,Česká spořitelna,CZK,JPY,4.820206304829847
2019-03-07T00:00:00,Česká spořitelna,TRY,CZK,4.068
2019-03-07T00:00:00,Česká spořitelna,HRK,CZK,3.36
2019-03-07T00:00:00,Česká spořitelna,DKK,CZK,3.343
2019-03-07T00:00:00,Česká spořitelna,HKD,CZK,2.809
2019-03-07T00:00:00,Česká spořitelna,CZK,RUB,2.8039479587258858
2019-03-07T00:00:00,Česká spořitelna,NOK,CZK,2.544
2019-03-07T00:00:00,Česká spořitelna,SEK,CZK,2.374
2019-03-07T00:00:00,Česká spořitelna,ZAR,CZK,1.552
2019-03-07T00:00:00,Česká spořitelna,CZK,ZAR,0.6131207847946045
2019-03-07T00:00:00,Česká spořitelna,CZK,SEK,0.40064102564102566
2019-03-07T00:00:00,Česká spořitelna,CZK,NOK,0.3738317757009346
2019-03-07T00:00:00,Česká spořitelna,CZK,HKD,0.3386386725364037
2019-03-07T00:00:00,Česká spořitelna,RUB,CZK,0.32921
2019-03-07T00:00:00,Česká spořitelna,CZK,DKK,0.28457598178713717
2019-03-07T00:00:00,Česká spořitelna,CZK,HRK,0.28312570781426954
2019-03-07T00:00:00,Česká spořitelna,CZK,TRY,0.23386342376052385
2019-03-07T00:00:00,Česká spořitelna,JPY,CZK,0.19734000000000002
2019-03-07T00:00:00,Česká spořitelna,CZK,RON,0.18099547511312217
2019-03-07T00:00:00,Česká spořitelna,CZK,PLN,0.1639881928501148
2019-03-07T00:00:00,Česká spořitelna,CZK,TND,0.13070186903672723
2019-03-07T00:00:00,Česká spořitelna,HUF,CZK,0.07905999999999999
2019-03-07T00:00:00,Česká spořitelna,CZK,BGN,0.07459903021260723
2019-03-07T00:00:00,Česká spořitelna,CZK,NZD,0.06365777579731365
2019-03-07T00:00:00,Česká spořitelna,CZK,AUD,0.06132335806708776
2019-03-07T00:00:00,Česká spořitelna,CZK,CAD,0.05785028346638898
2019-03-07T00:00:00,Česká spořitelna,CZK,CHF,0.043306916114503484
2019-03-07T00:00:00,Česká spořitelna,CZK,USD,0.043144361032013114
2019-03-07T00:00:00,Česká spořitelna,CZK,EUR,0.03813882532418002
2019-03-07T00:00:00,Česká spořitelna,CZK,GBP,0.03279118572927597
2019-03-08T00:00:00,Česká spořitelna,GBP,CZK,29.11
2019-03-08T00:00:00,Česká spořitelna,EUR,CZK,24.96
2019-03-08T00:00:00,Česká spořitelna,USD,CZK,22.212
2019-03-08T00:00:00,Česká spořitelna,CHF,CZK,22.032
2019-03-08T00:00:00,Česká spořitelna,CAD,CZK,16.54
2019-03-08T00:00:00,Česká spořitelna,AUD,CZK,15.63
2019-03-08T00:00:00,Česká spořitelna,NZD,CZK,15.051
2019-03-08T00:00:00,Česká spořitelna,BGN,CZK,12.761
2019-03-08T00:00:00,Česká spořitelna,CZK,HUF,12.019230769230768
2019-03-08T00:00:00,Česká spořitelna,TND,CZK,7.308
2019-03-08T00:00:00,Česká spořitelna,PLN,CZK,5.801
2019-03-08T00:00:00,Česká spořitelna,RON,CZK,5.265
2019-03-08T00:00:00,Česká spořitelna,CZK,JPY,4.779429336137266
2019-03-08T00:00:00,Česká spořitelna,TRY,CZK,4.074
2019-03-08T00:00:00,Česká spořitelna,HRK,CZK,3.366
2019-03-08T00:00:00,Česká spořitelna,DKK,CZK,3.345
2019-03-08T00:00:00,Česká spořitelna,HKD,CZK,2.83
